Display Name;Name;Standard Location
# These do not suport EKS:
# Capetown af-south-1
# Milan eu-south-1
# N. Cal us-west-1
# Osaka ap-northeast-3;
Asia Pacific (Hong Kong);ap-east-1;asia-east2
Asia Pacific (Mumbai);ap-south-1;asia-south1
Asia Pacific (Seoul);ap-northeast-2;asia-northeast3
Asia Pacific (Singapore);ap-southeast-1;asia-southeast1
Asia Pacific (Sydney);ap-southeast-2;australia-southeast1
Asia Pacific (Tokyo);ap-northeast-1;asia-northeast1
Canada (Central);ca-central-1;northamerica-northeast1
Europe (Frankfurt);eu-central-1;europe-west3
Europe (Ireland);eu-west-1;europe-west2
Europe (London);eu-west-2;europe-west2
Europe (Paris);eu-west-3;europe-west6
Europe (Stockholm);eu-north-1;europe-west4
Middle East (Bahrain);me-south-1;asia-south1
South America (São Paulo);sa-east-1;southamerica-east1
US East (N. Virginia);us-east-1;us-east4
US East (Ohio);us-east-2;us-central1
US West (Oregon);us-west-2;us-west1
