API Name,Display Name,Memory GiB,vCPUs,Supports EKS
#TODO Does EKS supports all instance types, not just those shown in the GUI?
a1.2xlarge,A1 Double Extra Large,16,8,
a1.4xlarge,A1 Quadruple Extra Large,32,16,
a1.large,A1 Large,4,2,
a1.medium,A1 Medium,2,1,
a1.metal,A1 Metal,32,16,
a1.xlarge,A1 Extra Large,8,4,
c1.medium,C1 High-CPU Medium,1.7,2,
c1.xlarge,C1 High-CPU Extra Large,7,8,
c3.2xlarge,C3 High-CPU Double Extra Large,15,8,
c3.4xlarge,C3 High-CPU Quadruple Extra Large,30,16,
c3.8xlarge,C3 High-CPU Eight Extra Large,60,32,
c3.large,C3 High-CPU Large,3.75,2,
c3.xlarge,C3 High-CPU Extra Large,7.5,4,
c4.2xlarge,C4 High-CPU Double Extra Large,15,8,
c4.4xlarge,C4 High-CPU Quadruple Extra Large,30,16,
c4.8xlarge,C4 High-CPU Eight Extra Large,60,36,
c4.large,C4 High-CPU Large,3.75,2,
c4.xlarge,C4 High-CPU Extra Large,7.5,4,
c5.12xlarge,C5 High-CPU 12xlarge,96,48,
c5.18xlarge,C5 High-CPU 18xlarge,144,72,
c5.24xlarge,C5 High-CPU 24xlarge,192,96,
c5.2xlarge,C5 High-CPU Double Extra Large,16,8,TRUE
c5.4xlarge,C5 High-CPU Quadruple Extra Large,32,16,TRUE
c5.9xlarge,C5 High-CPU 9xlarge,72,36,TRUE
c5.large,C5 High-CPU Large,4,2,TRUE
c5.metal,C5 High-CPU Metal,192,96,
c5.xlarge,C5 High-CPU Extra Large,8,4,TRUE
c5d.12xlarge,C5 High-CPU 12xlarge,96,48,
c5d.18xlarge,C5 High-CPU 18xlarge,144,72,
c5d.24xlarge,C5 High-CPU 24xlarge,192,96,
c5d.2xlarge,C5 High-CPU Double Extra Large,16,8,
c5d.4xlarge,C5 High-CPU Quadruple Extra Large,32,16,
c5d.9xlarge,C5 High-CPU 9xlarge,72,36,
c5d.large,C5 High-CPU Large,4,2,
c5d.metal,C5 High-CPU Metal,192,96,
c5d.xlarge,C5 High-CPU Extra Large,8,4,
c5n.18xlarge,C5N 18xlarge,192,72,
c5n.2xlarge,C5N Double Extra Large,21,8,
c5n.4xlarge,C5N Quadruple Extra Large,42,16,
c5n.9xlarge,C5N 9xlarge,96,36,
c5n.large,C5N Large,5.25,2,
